"ID","Name","Form","Type1","Type2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation"
252,"Treecko"," ","Grass"," ",310,40,45,35,65,55,70,3
253,"Grovyle"," ","Grass"," ",405,50,65,45,85,65,95,3
254,"Sceptile"," ","Grass"," ",530,70,85,65,105,85,120,3
255,"Torchic"," ","Fire"," ",310,45,60,40,70,50,45,3
256,"Combusken"," ","Fire","Fighting",405,60,85,60,85,60,55,3
257,"Blaziken"," ","Fire","Fighting",530,80,120,70,110,70,80,3
258,"Mudkip"," ","Water"," ",310,50,70,50,50,50,40,3
259,"Marshtomp"," ","Water","Ground",405,70,85,70,60,70,50,3
260,"Swampert"," ","Water","Ground",535,100,110,90,85,90,60,3
261,"Poochyena"," ","Dark"," ",220,35,55,35,30,30,35,3
262,"Mightyena"," ","Dark"," ",420,70,90,70,60,60,70,3
263,"Zigzagoon"," ","Normal"," ",240,38,30,41,30,41,60,3
264,"Linoone"," ","Normal"," ",420,78,70,61,50,61,100,3
265,"Wurmple"," ","Bug"," ",195,45,45,35,20,30,20,3
266,"Silcoon"," ","Bug"," ",205,50,35,55,25,25,15,3
267,"Beautifly"," ","Bug","Flying",395,60,70,50,100,50,65,3
268,"Cascoon"," ","Bug"," ",205,50,35,55,25,25,15,3
269,"Dustox"," ","Bug","Poison",385,60,50,70,50,90,65,3
270,"Lotad"," ","Water","Grass",220,40,30,30,40,50,30,3
271,"Lombre"," ","Water","Grass",340,60,50,50,60,70,50,3
272,"Ludicolo"," ","Water","Grass",480,80,70,70,90,100,70,3
273,"Seedot"," ","Grass"," ",220,40,40,50,30,30,30,3
274,"Nuzleaf"," ","Grass","Dark",340,70,70,40,60,40,60,3
275,"Shiftry"," ","Grass","Dark",480,90,100,60,90,60,80,3
276,"Taillow"," ","Normal","Flying",270,40,55,30,30,30,85,3
277,"Swellow"," ","Normal","Flying",455,60,85,60,75,50,125,3
278,"Wingull"," ","Water","Flying",270,40,30,30,55,30,85,3
279,"Pelipper"," ","Water","Flying",440,60,50,100,95,70,65,3
280,"Ralts"," ","Psychic","Fairy",198,28,25,25,45,35,40,3
281,"Kirlia"," ","Psychic","Fairy",278,38,35,35,65,55,50,3
282,"Gardevoir"," ","Psychic","Fairy",518,68,65,65,125,115,80,3
283,"Surskit"," ","Bug","Water",269,40,30,32,50,52,65,3
284,"Masquerain"," ","Bug","Flying",454,70,60,62,100,82,80,3
285,"Shroomish"," ","Grass"," ",295,60,40,60,40,60,35,3
286,"Breloom"," ","Grass","Fighting",460,60,130,80,60,60,70,3
287,"Slakoth"," ","Normal"," ",280,60,60,60,35,35,30,3
288,"Vigoroth"," ","Normal"," ",440,80,80,80,55,55,90,3
289,"Slaking"," ","Normal"," ",670,150,160,100,95,65,100,3
290,"Nincada"," ","Bug","Ground",266,31,45,90,30,30,40,3
291,"Ninjask"," ","Bug","Flying",456,61,90,45,50,50,160,3
292,"Shedinja"," ","Bug","Ghost",236,1,90,45,30,30,40,3
293,"Whismur"," ","Normal"," ",240,64,51,23,51,23,28,3
294,"Loudred"," ","Normal"," ",360,84,71,43,71,43,48,3
295,"Exploud"," ","Normal"," ",490,104,91,63,91,73,68,3
296,"Makuhita"," ","Fighting"," ",237,72,60,30,20,30,25,3
297,"Hariyama"," ","Fighting"," ",474,144,120,60,40,60,50,3
298,"Azurill"," ","Normal","Fairy",190,50,20,40,20,40,20,3
299,"Nosepass"," ","Rock"," ",375,30,45,135,45,90,30,3
300,"Skitty"," ","Normal"," ",260,50,45,45,35,35,50,3
301,"Delcatty"," ","Normal"," ",400,70,65,65,55,55,90,3
302,"Sableye"," ","Dark","Ghost",380,50,75,75,65,65,50,3
303,"Mawile"," ","Steel","Fairy",380,50,85,85,55,55,50,3
