"ID","Name","Form","Type1","Type2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation"
494,"Victini"," ","Psychic","Fire",600,100,100,100,100,100,100,5
495,"Snivy"," ","Grass"," ",308,45,45,55,45,55,63,5
496,"Servine"," ","Grass"," ",413,60,60,75,60,75,83,5
497,"Serperior"," ","Grass"," ",528,75,75,95,75,95,113,5
498,"Tepig"," ","Fire"," ",308,65,63,45,45,45,45,5
499,"Pignite"," ","Fire","Fighting",418,90,93,55,70,55,55,5
500,"Emboar"," ","Fire","Fighting",528,110,123,65,100,65,65,5
501,"Oshawott"," ","Water"," ",308,55,55,45,63,45,45,5
502,"Dewott"," ","Water"," ",413,75,75,60,83,60,60,5
503,"Samurott"," ","Water"," ",528,95,100,85,108,70,70,5
504,"Patrat"," ","Normal"," ",255,45,55,39,35,39,42,5
505,"Watchog"," ","Normal"," ",420,60,85,69,60,69,77,5
506,"Lillipup"," ","Normal"," ",275,45,60,45,25,45,55,5
507,"Herdier"," ","Normal"," ",370,65,80,65,35,65,60,5
508,"Stoutland"," ","Normal"," ",500,85,110,90,45,90,80,5
509,"Purrloin"," ","Dark"," ",281,41,50,37,50,37,66,5
510,"Liepard"," ","Dark"," ",446,64,88,50,88,50,106,5
511,"Pansage"," ","Grass"," ",316,50,53,48,53,48,64,5
512,"Simisage"," ","Grass"," ",498,75,98,63,98,63,101,5
513,"Pansear"," ","Fire"," ",316,50,53,48,53,48,64,5
514,"Simisear"," ","Fire"," ",498,75,98,63,98,63,101,5
515,"Panpour"," ","Water"," ",316,50,53,48,53,48,64,5
516,"Simipour"," ","Water"," ",498,75,98,63,98,63,101,5
517,"Munna"," ","Psychic"," ",292,76,25,45,67,55,24,5
518,"Musharna"," ","Psychic"," ",487,116,55,85,107,95,29,5
519,"Pidove"," ","Normal","Flying",264,50,55,50,36,30,43,5
520,"Tranquill"," ","Normal","Flying",358,62,77,62,50,42,65,5
521,"Unfezant"," ","Normal","Flying",488,80,115,80,65,55,93,5
522,"Blitzle"," ","Electric"," ",295,45,60,32,50,32,76,5
523,"Zebstrika"," ","Electric"," ",497,75,100,63,80,63,116,5
524,"Roggenrola"," ","Rock"," ",280,55,75,85,25,25,15,5
525,"Boldore"," ","Rock"," ",390,70,105,105,50,40,20,5
526,"Gigalith"," ","Rock"," ",515,85,135,130,60,80,25,5
527,"Woobat"," ","Psychic","Flying",323,65,45,43,55,43,72,5
528,"Swoobat"," ","Psychic","Flying",425,67,57,55,77,55,114,5
529,"Drilbur"," ","Ground"," ",328,60,85,40,30,45,68,5
530,"Excadrill"," ","Ground","Steel",508,110,135,60,50,65,88,5
531,"Audino"," ","Normal"," ",445,103,60,86,60,86,50,5
532,"Timburr"," ","Fighting"," ",305,75,80,55,25,35,35,5
533,"Gurdurr"," ","Fighting"," ",405,85,105,85,40,50,40,5
534,"Conkeldurr"," ","Fighting"," ",505,105,140,95,55,65,45,5
