"ID","Name","Form","Type1","Type2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation"
3,"Venusaur","Mega Venusaur","Grass","Poison",625,80,100,123,122,120,80,6
6,"Charizard","Mega Charizard X","Fire","Dragon",634,78,130,111,130,85,100,6
6,"Charizard","Mega Charizard Y","Fire","Flying",634,78,104,78,159,115,100,6
9,"Blastoise","Mega Blastoise","Water"," ",630,79,103,120,135,115,78,6
15,"Beedrill","Mega Beedrill","Bug","Poison",495,65,150,40,15,80,145,6
18,"Pidgeot","Mega Pidgeot","Normal","Flying",579,83,80,80,135,80,121,6
65,"Alakazam","Mega Alakazam","Psychic"," ",600,55,50,65,175,105,150,6
80,"Slowbro","Mega Slowbro","Water","Psychic",590,95,75,180,130,80,30,6
94,"Gengar","Mega Gengar","Ghost","Poison",600,60,65,80,170,95,130,6
115,"Kangaskhan","Mega Kangaskhan","Normal"," ",590,105,125,100,60,100,100,6
127,"Pinsir","Mega Pinsir","Bug","Flying",600,65,155,120,65,90,105,6
130,"Gyarados","Mega Gyarados","Water","Dark",640,95,155,109,70,130,81,6
142,"Aerodactyl","Mega Aerodactyl","Rock","Flying",615,80,135,85,70,95,150,6
150,"Mewtwo","Mega Mewtwo X","Psychic","Fighting",780,106,190,100,154,100,130,6
150,"Mewtwo","Mega Mewtwo Y","Psychic"," ",780,106,150,70,194,120,140,6
181,"Ampharos","Mega Ampharos","Electric","Dragon",610,90,95,105,165,110,45,6
208,"Steelix","Mega Steelix","Steel","Ground",610,75,125,230,55,95,30,6
212,"Scizor","Mega Scizor","Bug","Steel",600,70,150,140,65,100,75,6
214,"Heracross","Mega Heracross","Bug","Fighting",600,80,185,115,40,105,75,6
229,"Houndoom","Mega Houndoom","Dark","Fire",600,75,90,90,140,90,115,6
248,"Tyranitar","Mega Tyranitar","Rock","Dark",700,100,164,150,95,120,71,6
254,"Sceptile","Mega Sceptile","Grass","Dragon",630,70,110,75,145,85,145,6
257,"Blaziken","Mega Blaziken","Fire","Fighting",630,80,160,80,130,80,100,6
260,"Swampert","Mega Swampert","Water","Ground",635,100,150,110,95,110,70,6
282,"Gardevoir","Mega Gardevoir","Psychic","Fairy",618,68,85,65,165,135,100,6
302,"Sableye","Mega Sableye","Dark","Ghost",480,50,85,125,85,115,20,6
303,"Mawile","Mega Mawile","Steel","Fairy",480,50,105,125,55,95,50,6
306,"Aggron","Mega Aggron","Steel"," ",630,70,140,230,60,80,50,6
308,"Medicham","Mega Medicham","Fighting","Psychic",510,60,100,85,80,85,100,6
310,"Manectric","Mega Manectric","Electric"," ",575,70,75,80,135,80,135,6
319,"Sharpedo","Mega Sharpedo","Water","Dark",560,70,140,70,110,65,105,6
323,"Camerupt","Mega Camerupt","Fire","Ground",560,70,120,100,145,105,20,6
334,"Altaria","Mega Altaria","Dragon","Fairy",590,75,110,110,110,105,80,6
354,"Banette","Mega Banette","Ghost"," ",555,64,165,75,93,83,75,6
359,"Absol","Mega Absol","Dark"," ",565,65,150,60,115,60,115,6
362,"Glalie","Mega Glalie","Ice"," ",580,80,120,80,120,80,100,6
373,"Salamence","Mega Salamence","Dragon","Flying",700,95,145,130,120,90,120,6
376,"Metagross","Mega Metagross","Steel","Psychic",700,80,145,150,105,110,110,6
380,"Latias","Mega Latias","Dragon","Psychic",700,80,100,120,140,150,110,6
381,"Latios","Mega Latios","Dragon","Psychic",700,80,130,100,160,120,110,6
382,"Kyogre","Primal Kyogre","Water"," ",770,100,150,90,180,160,90,6
383,"Groudon","Primal Groudon","Ground","Fire",770,100,180,160,150,90,90,6
384,"Rayquaza","Mega Rayquaza","Dragon","Flying",780,105,180,100,180,100,115,6
428,"Lopunny","Mega Lopunny","Normal","Fighting",580,65,136,94,54,96,135,6
445,"Garchomp","Mega Garchomp","Dragon","Ground",700,108,170,115,120,95,92,6
448,"Lucario","Mega Lucario","Fighting","Steel",625,70,145,88,140,70,112,6
460,"Abomasnow","Mega Abomasnow","Grass","Ice",594,90,132,105,132,105,30,6
475,"Gallade","Mega Gallade","Psychic","Fighting",618,68,165,95,65,115,110,6
